date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:02	34941/34941	---M--	200	added ('OK')	image/jpeg	etag:%2228621e575a83c32becae843101f2fb2b-ssl%22	https://kalvin.netlify.com/images/portfolio/img-2.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/portfolio/img-2.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:02	311982/311982	---M--	200	added ('OK')	image/jpeg	etag:%2290f807c6a04a096cec0d2c8a29b73237-ssl%22	https://kalvin.netlify.com/images/background/stats-bg.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/background/stats-bg.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:03	36247/36247	---M--	200	added ('OK')	image/jpeg	etag:%22428038c108adc798b2acf911ca609784-ssl%22	https://kalvin.netlify.com/images/portfolio/img-3.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/portfolio/img-3.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:04	36644/36644	---M--	200	added ('OK')	image/jpeg	etag:%22262d8fb8f144be491c6b4bb69a5955bb-ssl%22	https://kalvin.netlify.com/images/portfolio/img-4.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/portfolio/img-4.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:05	31857/31857	---M--	200	added ('OK')	image/jpeg	etag:%22931a28695a3b58698e752ecdce33cb37-ssl%22	https://kalvin.netlify.com/images/portfolio/img-5.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/portfolio/img-5.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:06	17499/17499	---M--	200	added ('OK')	image/jpeg	etag:%221040a0c90167e119dbf1e29044a350ae-ssl%22	https://kalvin.netlify.com/images/portfolio/img-6.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/portfolio/img-6.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:07	11805/11805	---M-Z	200	added ('OK')	text/html	etag:%22c93203cff336fe518a7979f7a78d9a4b-ssl-df%22	https://kalvin.netlify.com/single-blog.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/single-blog.html	(from https://kalvin.netlify.com/index-particles3.html)
15:39:08	39288/39288	---M--	200	added ('OK')	image/jpeg	etag:%220e544a207a55b0d4ea503fbde6bbf512-ssl%22	https://kalvin.netlify.com/images/blog/img-1.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/blog/img-1.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:10	74520/74520	---M--	200	added ('OK')	image/jpeg	etag:%2263cb4e0fb9254e8425c3e909675363c1-ssl%22	https://kalvin.netlify.com/images/blog/img-2.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/blog/img-2.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:10	56860/56860	---M--	200	added ('OK')	image/jpeg	etag:%22137779e035ede219b9a911ce10aa9f44-ssl%22	https://kalvin.netlify.com/images/blog/img-3.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/blog/img-3.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:11	23956/23956	---M--	200	added ('OK')	image/jpeg	etag:%2297ae237ff032d670bbdb80083506a3d0-ssl%22	https://kalvin.netlify.com/images/blog/img-4.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/blog/img-4.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:12	12891/12891	---M-Z	200	added ('OK')	text/html	etag:%223b049030b9de5f0edc8a26fc8c16a1d8-ssl-df%22	https://kalvin.netlify.com/blogs-page.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/blogs-page.html	(from https://kalvin.netlify.com/index-particles3.html)
15:39:14	212392/212392	---M--	200	added ('OK')	image/jpeg	etag:%229c5409eadfd534c90c8e069c3a8ccfba-ssl%22	https://kalvin.netlify.com/images/background/testimonials-bg.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/background/testimonials-bg.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:14	15017/15017	---M--	200	added ('OK')	image/jpeg	etag:%22f9fa9eee173ff88467bd9b961231c7c2-ssl%22	https://kalvin.netlify.com/images/testimonial/img-1.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/testimonial/img-1.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:15	50731/50731	---M-Z	200	added ('OK')	application/javascript	etag:%22944c521e6327cb49c8b4e464bfb2dd56-ssl-df%22	https://kalvin.netlify.com/js/bootstrap.min.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/bootstrap.min.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:16	24005/24005	---M-Z	200	added ('OK')	application/javascript	etag:%22e7c301a075f820dfd505904f4c701ce7-ssl-df%22	https://kalvin.netlify.com/js/jquery.stellar.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/jquery.stellar.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:17	5532/5532	---M-Z	200	added ('OK')	application/javascript	etag:%2233fd73d03b005c05d95eac216d169e07-ssl-df%22	https://kalvin.netlify.com/js/animated.headline.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/animated.headline.js	(from https://kalvin.netlify.com/index-particles3.html)
